index,Car Name,KMs Driven,Fuel Type,Transmission,Ownership,Manufacture,Engine,Seats,car price,CarPrices in Lakhs
78,Hyundai EON D Lite,60000,Petrol,Manual,2,2012,814,5,1.9,1.9
79,Hyundai i20 Magna Optional 1.2,23000,Petrol,Manual,1,2014,1197,5,4.65,4.65
80,Hyundai Grand i10 1.2 Kappa Era,45000,Petrol,Manual,1,2019,1197,5,4.6,4.6
81,Hyundai i10 Magna 1.1L,45000,Petrol,Manual,1,2014,1086,5,3.25,3.25
82,Maruti Ertiga VDI,58000,Diesel,Manual,1,2013,1248,7,5.25,5.25
83,Hyundai i20 1.2 Spotz,48000,Petrol,Manual,1,2018,1197,5,6.25,6.25
84,BMW 2 Series 220i M Sport,18000,Petrol,Automatic,1,2021,1998,5,40,40
85,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,16000,Petrol,Automatic,1,2022,999,5,16.75,16.75
86,Honda City i-VTEC VX,24000,Petrol,Manual,1,2019,1497,5,10,10
87,MG Hector Plus Select Diesel MT 7 STR,36000,Diesel,Manual,1,2021,1956,7,17.9,17.9
88,Jeep Compass 1.4 Limited Plus,35000,Petrol,Automatic,2,2019,1368,5,13.9,13.9
89,Honda Amaze E Petrol BSIV,64000,Petrol,Manual,1,2019,1199,5,6.1,6.1
90,Maruti Vitara Brezza VDi,72000,Diesel,Manual,1,2017,1248,5,7.75,7.75
91,Hyundai Grand i10 Magna,29900,Petrol,Manual,1,2015,1197,5,4.6,4.6
92,Mahindra XUV700 AX5 Diesel AT,20000,Diesel,Automatic,1,2022,2198,5,20.91,20.91
93,Tata Indigo VX BSIV,160000,Diesel,Manual,1,2013,1396,5,3.1,3.1
94,Tata Tiago XZ Plus,16000,Petrol,Manual,1,2020,1199,5,5.65,5.65
95,Honda WR-V i-VTEC VX,17000,Petrol,Manual,1,2019,1199,5,9,9
96,Lexus NX 300h,111000,Petrol,Automatic,1,2018,2499,5,42,42
97,Mercedes-Benz M-Class ML 250 CDI,38000,Diesel,Automatic,2,2015,2143,5,28.5,28.5
98,Honda Jazz 1.5 SV i DTEC,32000,Diesel,Manual,1,2015,1498,5,5.5,5.5
99,Volkswagen Polo 1.2 MPI Comfortline,67000,Petrol,Manual,1,2015,1198,5,4.5,4.5
100,Ford Ecosport 1.5 Petrol Titanium AT,50000,Petrol,Automatic,1,2016,1496,5,6.75,6.75
101,Maruti Swift VDI BSIV,110000,Diesel,Manual,2,2010,1248,5,1.8,1.8
102,Hyundai Verna VTVT 1.6 AT EX,51000,Petrol,Automatic,1,2017,1591,5,7.75,7.75
103,Hyundai Grand i10 1.2 CRDi Sportz,83000,Diesel,Manual,1,2017,1186,5,5.5,5.5
104,Audi Q3 35 TDI Quattro Premium,38000,Diesel,Automatic,1,2016,1968,5,24,24
105,Hyundai Creta 1.6 SX Automatic Diesel,58000,Diesel,Automatic,1,2018,1582,5,13.25,13.25
106,Hyundai Creta 1.6 SX,36000,Petrol,Manual,1,2018,1591,5,11,11
107,Volkswagen Vento 1.0 TSI Highline AT,23500,Petrol,Automatic,1,2020,999,5,10.5,10.5
108,Hyundai i20 1.2 Magna Executive,60000,Petrol,Manual,1,2017,1197,5,6.5,6.5
109,Skoda Superb LK 1.8 TSI AT,18000,Petrol,Automatic,1,2018,1798,5,25,25
110,Honda Amaze V Petrol BSIV,36500,Petrol,Manual,1,2017,1199,5,6,6
111,Skoda Superb Sportline,25000,Petrol,Automatic,1,2021,1984,5,31,31
112,Kia Seltos HTX IVT,20500,Petrol,Automatic,1,2020,1497,5,15.75,15.75
113,Honda Amaze S i-Vtech,30000,Petrol,Manual,1,2015,1198,5,4.5,4.5
114,Hyundai i20 Magna 1.2,59000,Petrol,Manual,1,2017,1197,5,5.9,5.9
115,BMW X1 sDrive 20d xLine,80000,Diesel,Automatic,1,2014,1995,5,14.5,14.5
116,Hyundai Xcent 1.2 CRDi E Plus,50000,Diesel,Manual,2,2017,1186,5,3.8,3.8
117,Tata Harrier XZAS Plus Kaziranga Edition AT,32000,Diesel,Automatic,1,2021,1956,5,21,21
118,Hyundai i10 Era 1.1 iTech SE,120000,Petrol,Manual,2,2012,1086,5,2.61,2.61
119,Land Rover Discovery 2.0 R-Dynamic HSE,33000,Petrol,Automatic,1,2021,1997,7,1.1,1.1
120,Mini 3 DOOR Cooper S,6900,Petrol,Automatic,1,2019,1998,4,42,42
121,Tata Harrier XZA Plus Kaziranga Edition AT,4500,Diesel,Automatic,1,2022,1956,5,22.5,22.5
122,Volvo S90 D4 Inscription BSIV,51000,Diesel,Automatic,1,2018,1969,5,42,42
123,Kia Seltos GTX Plus AT D,12000,Diesel,Automatic,1,2022,1493,5,19.75,19.75
124,Maruti Vitara Brezza ZDi Plus,37000,Diesel,Manual,1,2018,1248,5,9.5,9.5
125,Hyundai Verna SX Opt Diesel,35000,Diesel,Manual,1,2021,1493,5,14.51,14.51
126,Maruti Wagon R VXI Optional,80000,Petrol,Manual,2,2016,998,5,3,3
127,Hyundai Grand i10 Magna,60000,Petrol,Manual,1,2016,1197,5,4.6,4.6
128,Honda Amaze VX CVT,10000,Petrol,Automatic,1,2022,1199,5,9.15,9.15
129,Maruti Ignis Zeta AMT,59385,Petrol,Automatic,1,2019,1197,5,5.5,5.5
130,Jaguar XF 3.0 Litre S Premium Luxury,51000,Diesel,Automatic,2,2012,2993,5,17,17
131,Mahindra XUV500 AT W6 1.99 mHawk,74000,Diesel,Automatic,1,2017,1997,7,9.9,9.9
132,Tata Nexon 1.2 Revotron XMA,29000,Petrol,Automatic,1,2020,1198,5,8.51,8.51
133,Jeep Compass Model S 4X4 Diesel AT,12200,Diesel,Automatic,1,2021,1956,5,27.5,27.5
134,Hyundai Grand i10 1.2 Kappa Sportz Option AT,40000,Petrol,Automatic,3,2019,1197,5,5.5,5.5
135,Hyundai Verna CRDi 1.6 SX,58000,Diesel,Manual,1,2018,1582,5,9.51,9.51
136,Toyota Innova Crysta 2.8 ZX AT BSIV,75000,Diesel,Automatic,2,2019,2755,7,19.9,19.9
137,Land Rover Discovery Sport TD4 HSE 7S,72000,Diesel,Automatic,1,2018,1999,7,35.5,35.5
138,Ford Aspire 1.2 Ti-VCT Titanium,23400,Petrol,Manual,1,2017,1196,5,5.5,5.5
139,Ford Aspire 1.2 Ti-VCT Ambiente,59300,Petrol,Manual,1,2017,1196,5,3.9,3.9
140,Hyundai Creta 1.4 CRDi S,72000,Diesel,Manual,1,2016,1396,5,8.9,8.9
141,Maruti Swift Dzire LDI,67000,Diesel,Manual,1,2017,1248,5,4.51,4.51
142,Honda Amaze S CVT i-VTEC,33500,Petrol,Automatic,1,2018,1199,5,7.25,7.25
143,Hyundai Creta SX Executive,17000,Petrol,Manual,2,2021,1497,5,12.75,12.75
144,Volkswagen Ameo 1.5 TDI Highline AT,33000,Diesel,Automatic,1,2016,1498,5,6.9,6.9
145,Volkswagen Polo GT TSI,49000,Petrol,Automatic,1,2015,1197,5,6.75,6.75
146,Hyundai Grand i10 AT Asta,26000,Petrol,Automatic,1,2015,1197,5,5.65,5.65
147,Hyundai Venue SX Opt iMT,14500,Petrol,Manual,1,2020,998,5,10,10
148,Kia Seltos GTX Plus AT D,10000,Diesel,Automatic,1,2022,1493,5,19.75,19.75
149,MG Hector Plus Sharp DCT,15001,Petrol,Automatic,1,2020,1451,6,17,17
150,Skoda Octavia Elegance 1.8 TSI AT,55000,Petrol,Automatic,2,2015,1798,5,9.75,9.75
151,Toyota Corolla Altis G,38000,Petrol,Manual,1,2013,1798,5,6.5,6.5
152,Ford Endeavour 4x4 XLT,110000,Diesel,Manual,2,2005,2953,7,4,4
153,Honda Amaze S AT i-Vtech,65413,Petrol,Automatic,1,2013,1198,5,4.75,4.75
154,Honda Jazz Mode,45000,Petrol,Manual,2,2009,1198,5,2.8,2.8
155,Ford Figo 1.2P Trend MT,44000,Petrol,Manual,1,2017,1196,5,4.3,4.3
156,Hyundai Grand i10 1.2 Kappa Magna BSIV,40000,Petrol,Manual,1,2017,1197,5,4.9,4.9
157,Ford Ecosport 1.5 Petrol Titanium AT,49000,Petrol,Automatic,1,2016,1496,5,6.51,6.51
158,Mahindra Thar LX 4-Str Hard Top Diesel AT,19000,Diesel,Automatic,1,2022,2184,4,17.51,17.51
159,Hyundai i20 Magna Optional 1.4 CRDi,56000,Diesel,Manual,2,2013,1396,5,3.91,3.91
160,Honda City 1.5 V MT,65000,Petrol,Manual,2,2010,1497,5,3.75,3.75
161,Toyota Etios G,27680,Petrol,Manual,1,2013,1496,5,4.9,4.9
162,Kia Seltos GTX Plus AT D,27305,Diesel,Automatic,1,2021,1493,5,18.25,18.25
163,BMW 3 Series 320d,10793,Diesel,Automatic,1,2019,1995,5,33,33
164,BMW X3 xDrive 20d Luxury Line,12000,Diesel,Automatic,1,2020,1995,5,56,56
165,MG Hector Sharp DCT,44000,Petrol,Automatic,1,2019,1451,5,14.99,14.99
166,Kia Seltos HTK G,63000,Petrol,Manual,1,2020,1497,5,11.99,11.99
167,Hyundai i20 Sportz Plus Diesel,87000,Diesel,Manual,1,2019,1396,5,6.5,6.5
168,Maruti Alto LXi,61000,Petrol,Manual,1,2010,796,5,1.9,1.9
169,Hyundai i20 Sportz Option 1.4 CRDi,72000,Diesel,Manual,1,2016,1396,5,6.25,6.25
170,Audi A4 2.0 TDI Multitronic,70000,Diesel,Automatic,1,2015,1968,5,16.51,16.51
171,Nissan Micra Diesel XV,58000,Diesel,Manual,2,2012,1461,5,2.25,2.25
172,Honda Jazz Active,90000,Petrol,Manual,3,2009,1198,5,1.3,1.3
173,Honda City VX MT,19000,Petrol,Manual,1,2022,1497,5,12.5,12.5
174,Toyota Corolla Altis G AT,72159,Petrol,Automatic,1,2014,1798,5,9.25,9.25
175,Ford Ecosport 1.5 DV5 MT Titanium,78000,Diesel,Manual,1,2015,1498,5,5.9,5.9
176,Ford Ecosport 1.5 Diesel Titanium BSIV,58000,Diesel,Manual,1,2018,1498,5,6.9,6.9
177,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,72000,Diesel,Manual,1,2018,1498,5,8.9,8.9
178,Land Rover Range Rover Evoque 2.0 TD4 SE,56000,Diesel,Automatic,1,2018,1999,5,42.5,42.5
179,Nissan Micra Diesel XV,73000,Diesel,Manual,1,2012,1461,5,2.9,2.9
180,Hyundai Creta 1.6 VTVT S,28840,Petrol,Manual,1,2016,1591,5,8.9,8.9
181,Maruti Swift Dzire AMT ZXI,51500,Petrol,Automatic,1,2019,1197,5,6.9,6.9
182,Maruti S-Presso VXI Plus AT 2019-2022,41370,Petrol,Automatic,1,2020,998,5,4.8,4.8
183,Hyundai Creta 1.6 VTVT S,41266,Petrol,Manual,1,2016,1591,5,8.75,8.75
184,Hyundai Verna VTVT 1.6 AT SX Option,31740,Petrol,Automatic,1,2018,1591,5,9.9,9.9
185,Maruti Ciaz VXi Plus,77876,Petrol,Manual,1,2015,1373,5,6.15,6.15
186,Skoda Kushaq 1.5 TSI Style,9500,Petrol,Manual,1,2022,1498,5,20.5,20.5
187,Hyundai Grand i10 1.2 Kappa Sportz Option AT,28387,Petrol,Automatic,1,2019,1197,5,6.25,6.25
188,Mercedes-Benz M-Class ML 350 CDI,120000,Diesel,Automatic,2,2015,2987,5,27,27
189,Hyundai Grand i10 Magna,20000,Petrol,Manual,2,2017,1197,5,4.5,4.5
190,Mercedes-Benz C-Class Progressive C 220d,30686,Diesel,Automatic,1,2020,1950,5,42.5,42.5
191,Tata Indica eV2 DL BSIII,120000,Diesel,Manual,2,2013,1396,5,1,1
192,Mahindra Bolero Power Plus SLE,184000,Diesel,Manual,2,2018,1493,7,6,6
193,Honda City 1.5 S AT,40000,Petrol,Automatic,1,2009,1497,5,4,4
194,Maruti Ciaz Delta Diesel,55000,Diesel,Manual,1,2015,1248,5,6.25,6.25
195,Hyundai Grand i10 1.2 Kappa Sportz Option,38000,Petrol,Manual,1,2019,1197,5,5.75,5.75
196,Audi Q3 30 TFSI Premium FWD,40000,Petrol,Automatic,1,2017,1395,5,23.5,23.5
197,Hyundai Santro GS zipDrive - Euro II,60000,Petrol,Manual,2,2006,999,5,1.35,1.35
198,Mahindra Bolero SLX,110000,Diesel,Manual,3,2009,2523,7,3,3
199,Maruti Swift LDI,143000,Diesel,Manual,2,2011,1248,5,2.1,2.1
200,Tata Indica Aqua 1.3 Quadrajet BSIV,110000,Diesel,Manual,3,2012,1248,5,1.25,1.25
201,Mahindra KUV 100 mFALCON D75 K4 Plus,58000,Diesel,Manual,1,2017,1198,6,4.75,4.75
202,Honda City i VTEC SV,65000,Petrol,Manual,2,2014,1497,5,5.5,5.5
203,Tata Harrier XZ Plus,50000,Diesel,Manual,1,2021,1956,5,17,17
204,Tata Zest Revotron 1.2 XT,55000,Petrol,Manual,1,2015,1193,5,3.49,3.49
205,Land Rover Discovery Sport R-Dynamic SE Diesel,19500,Diesel,Automatic,1,2021,1999,7,70,70
206,Mahindra XUV500 AT W10 FWD,78000,Diesel,Automatic,2,2016,2179,7,9.25,9.25
207,Honda City V MT,58000,Petrol,Manual,1,2010,1497,5,3.9,3.9
208,Mahindra XUV500 W10 2WD,91000,Diesel,Manual,1,2017,2179,7,10.25,10.25
209,Mahindra XUV500 AT W10 1.99 mHawk,30000,Diesel,Automatic,1,2016,1997,7,11.25,11.25
210,Maruti Baleno 1.2 Zeta,44153,Petrol,Manual,1,2018,1197,5,7.25,7.25
211,Mercedes-Benz C-Class C 250d Avantgarde Edition C,21000,Diesel,Automatic,1,2018,2143,5,34.5,34.5
212,Kia Seltos HTX G,19000,Petrol,Manual,1,2020,1497,5,14,14
213,Hyundai Alcazar Signature Diesel AT,27300,Diesel,Automatic,1,2021,1493,6,19.5,19.5
214,Skoda Superb Laurin & klement,31001,Petrol,Automatic,1,2021,1984,5,34,34
215,Renault KWID 1.0 RXT,50000,Petrol,Manual,1,2017,999,5,3.1,3.1
216,Maruti Wagon R LXI BSII,77000,Petrol,Manual,2,2005,998,5,1.3,1.3
217,Maruti Swift Dzire AMT VXI,53000,Petrol,Automatic,1,2018,1197,5,6.5,6.5
218,Datsun RediGO S,20000,Petrol,Manual,1,2017,799,5,2.75,2.75
219,Honda Brio S Option MT,72000,Petrol,Manual,1,2013,1198,5,3.5,3.5
220,Hyundai Creta 1.6 VTVT S,26000,Petrol,Manual,1,2016,1591,5,8.9,8.9
221,Honda Amaze S i-Dtech,66000,Diesel,Manual,1,2015,1498,5,4.25,4.25
222,Jaguar XF 2.2 Litre Luxury,69619,Diesel,Automatic,1,2014,2179,5,22,22
223,Maruti Alto K10 VXI AMT,30000,Petrol,Automatic,1,2018,998,5,4.3,4.3
224,Maruti Wagon R LXI Minor,61000,Petrol,Manual,1,2009,1061,5,2.11,2.11
225,Renault Duster 110PS Diesel RxZ AMT,31000,Diesel,Automatic,1,2018,1461,5,9.75,9.75
226,Volkswagen Polo GT TSI,66000,Petrol,Automatic,1,2015,1197,5,6.25,6.25
227,Land Rover Discovery Sport R-Dynamic SE,7700,Petrol,Automatic,1,2021,1997,7,72,72
228,Mahindra XUV700 AX3 AT,9000,Petrol,Automatic,1,2022,1999,5,17.5,17.5
229,Tata Tigor 1.2 Revotron XT,60000,Petrol,Manual,2,2017,1199,5,3.4,3.4
230,Skoda Fabia 1.2 MPI Active,110000,Petrol,Manual,3,2009,1198,5,1.1,1.1
231,Kia Seltos HTX Plus AT D,51001,Diesel,Automatic,1,2020,1493,5,16.75,16.75
232,Jeep Compass 2.0 Limited Plus AT,56207,Diesel,Automatic,1,2020,1956,5,21,21
233,Mercedes-Benz GLA Class 200 d Sport,58000,Diesel,Automatic,1,2019,2143,5,26.9,26.9
234,Hyundai i20 Diesel Sportz,73290,Diesel,Manual,1,2018,1396,5,6.5,6.5
235,Hyundai Verna 1.6 CRDi S,44283,Diesel,Manual,1,2017,1582,5,7.9,7.9
236,Maruti Celerio VXI AT,48000,Petrol,Automatic,1,2016,998,5,4.25,4.25
237,Honda City 1.5 S MT,107500,Petrol,Manual,3,2010,1497,5,3.4,3.4
238,Maruti Swift 1.3 LXI,80000,Petrol,Manual,3,2007,1298,5,99999,0.99999
239,Maruti SX4 Celebration Petrol,90000,Petrol,Manual,2,2009,1586,5,2,2
240,Maruti Vitara Brezza LXI,10000,Petrol,Manual,1,2021,1462,5,7.75,7.75
241,Maruti Wagon R LXI BS IV,120000,Petrol,Manual,1,2011,998,5,2.15,2.15
242,Maruti Wagon R LXI BS IV,120000,Petrol,Manual,1,2011,998,5,2.37,2.37
243,Maruti Zen LX,90000,Petrol,Manual,3,2002,993,5,55000,0.55
244,Mahindra KUV 100 NXT G80 K2,46000,Petrol,Manual,1,2018,1198,6,4.25,4.25
245,Nissan Sunny XL D,28000,Diesel,Manual,1,2017,1461,5,5.75,5.75
246,Honda WR-V SV,24000,Petrol,Manual,1,2020,1199,5,8.25,8.25
247,Honda WR-V i-VTEC S,23000,Petrol,Manual,1,2018,1199,5,6.9,6.9
248,Honda WR-V i-VTEC VX,24300,Petrol,Manual,1,2018,1199,5,7.75,7.75
249,Honda WR-V i-VTEC VX,51000,Petrol,Manual,1,2019,1199,5,7.9,7.9
250,Kia Seltos GTX Plus DCT,6000,Petrol,Automatic,1,2020,1353,5,14.9,14.9
251,Kia Seltos GTX Plus DCT,12600,Petrol,Automatic,1,2021,1353,5,17.25,17.25
252,Jeep Meridian Limited Opt AT 4x4,3500,Diesel,Automatic,1,2022,1956,7,37,37
253,Hyundai i10 Era,120000,Petrol,Manual,1,2011,1086,5,2.3,2.3
254,Hyundai Grand i10 Nios Sportz CNG,5000,Cng,Manual,1,2022,1197,5,7.5,7.5
255,Hyundai Santro Xing GLS,120000,Petrol,Manual,4,2010,1086,5,1.35,1.35
256,Honda Jazz V CVT,40000,Petrol,Automatic,1,2018,1199,5,6.95,6.95
257,Honda City i-VTEC V,96000,Petrol,Manual,1,2018,1497,5,7.85,7.85
258,Honda City 1.5 S MT,67000,Petrol,Manual,2,2010,1497,5,3.25,3.25
259,Honda City i-VTEC V,72000,Petrol,Manual,1,2018,1497,5,7.9,7.9
260,Hyundai i10 Magna,89000,Petrol,Manual,1,2013,1197,5,3.21,3.21
261,Volkswagen Polo Diesel Trendline 1.2L,64000,Diesel,Manual,1,2011,1199,5,3.3,3.3
262,Maruti Swift Vdi BSIII,120000,Diesel,Manual,3,2010,1248,5,2,2
263,Honda Jazz 1.2 SV i VTEC,42000,Petrol,Manual,1,2017,1199,5,5.4,5.4
264,Datsun RediGO T,55000,Petrol,Manual,1,2017,799,5,2.7,2.7
265,Hyundai Santro Era Executive BSIV,30000,Petrol,Manual,1,2019,1086,5,4.95,4.95
266,Tata Hexa XTA,86500,Diesel,Automatic,2,2017,2179,7,10,10
267,Honda CR-V 2.4L 4WD AT,59000,Petrol,Automatic,1,2014,2354,5,10.5,10.5
268,Hyundai EON Era Plus,15000,Petrol,Manual,1,2018,814,5,3.1,3.1
269,Mahindra Scorpio S7 140 BSIV,70000,Diesel,Manual,1,2019,2179,7,12,12
270,Volkswagen Polo ALLSTAR 1.2 MPI,50000,Petrol,Manual,2,2017,1198,5,6,6
271,Chevrolet Cruze LT,110000,Diesel,Manual,1,2012,1991,5,3,3
272,Tata Nexon XMA AMT,13700,Petrol,Automatic,1,2021,1199,5,9.25,9.25
273,Maruti Swift VXI BSIV,25000,Petrol,Manual,1,2019,1197,5,5.7,5.7
274,Ford Ecosport Sports Diesel,20000,Diesel,Manual,1,2021,1498,5,11,11
275,Jaguar XF 2.2 Litre Luxury,70000,Diesel,Automatic,2,2014,2179,5,18,18
276,Tata Indica TDI LX,35000,Diesel,Manual,3,2013,1405,5,1,1
277,Toyota Fortuner 4X4 Diesel AT,26629,Diesel,Automatic,1,2021,2755,7,43.5,43.5
278,Mercedes-Benz C-Class Progressive C 220d,20000,Diesel,Automatic,1,2019,1950,5,46.5,46.5
279,Mercedes-Benz GLC Progressive 220d,33000,Diesel,Automatic,1,2019,2143,5,53.95,53.95
280,BMW 3 Series Gran Limousine 330Li M Sport First Edition,25000,Petrol,Automatic,1,2021,1998,5,61.75,61.75
